run,run_dir,final_lattice_code,BC_deloc_code,nframes,final_crystal_shape,BC_spatial_distribution,other_notes,gr_messiness,weird_features,how_initialized,kT,EE,chain_num,linker
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_5_chn_num_3_linker_10,chain_len,no ID,,125,"lattice, no ID",crosses/weird star cross things?,"looks like could be a messy BCC (one peak is a double peak, not sure, could be something v different)",almost pristine,none,BCC,1.3,5,3,10-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_5_chn_num_3_linker_5,chain_len,BCC,,136,BCC,crosses,none,broad peaks,none,BCC,1.3,5,3,5-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_5_chn_num_3_linker_6,chain_len,BCC,medium,136,BCC,messy crosses,coord num for first and second nearest neighbors 14,braod peaks,"",BCC,1.3,5,3,6-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_5_chn_num_3_linker_7,chain_len,BCC,,136,BCC,crosses,coord num for first and second nearest neighbors 14,braod peaks,"",BCC,1.3,5,3,7-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_5_chn_num_3_linker_8,chain_len,BCC,,136,BCC,crosses,coord num for first and second nearest neighbors 14,broad peaks,"",BCC,1.3,5,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_6_chn_num_3_linker_10,chain_len,BCC,,136,BCC,crosses,none,almost pristine,none,BCC,1.3,6,3,10-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_6_chn_num_3_linker_12,chain_len,BCC,,110,BCC,crosses,none,almost pristine,none,BCC,1.3,6,3,12-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_6_chn_num_3_linker_4,chain_len,fluid,high,136,liquidy,pretty homogeneous,none,liquidy,none,BCC,1.3,6,3,4-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_6_chn_num_3_linker_6,chain_len,BCC,medium,136,BCC,crosses (a little messy),none,"almost pristine, peaks a little messy",none,BCC,1.3,6,3,6-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,,136,BCC,crosses,none,"almost pristine, peaks a little messy",none,BCC,1.3,6,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_8_chn_num_3_linker_10,chain_len,FCC,,129,FCC,interlocked hexes/mini crosses,"FCC peaks, ratio  c = sqrt(2)*a is satisfied",almost pristine,none,BCC,1.3,8,3,10-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_8_chn_num_3_linker_4,chain_len,fluid,high,136,liquidy,delocalized,none,very messy liquidy something,none,BCC,1.3,8,3,4-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_8_chn_num_3_linker_6,chain_len,BCC,high,136,BCC,delocalized  (very messy crosses),none,very messy,none,BCC,1.3,8,3,6-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,medium,136,mixture BCC/FCC,"partially crosses, partially messy interlocked hexes",split into : (name AC and x>0 and x<35) and  (name ACand x <0) and get one nice BCC g(r) andonemessy broady peaked FCC,"messy, first peak is really low","two phases by frame 56, starts out FCCish/liquidy",BCC,1.3,8,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_9_chn_num_3_linker_7,chain_len,FCC,high,136,FCC,very messy interlocking hexes,coord num 12,"FCC values for only first 3 peaks, very broad peaks ",very wobbly lattice,BCC,1.3,9,3,7-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.3_eps_-70_EE_9_chn_num_3_linker_8,chain_len,FCC,medium,136,FCC,messy small crosses,"FCC peaks, I think",broadish peaks,none,BCC,1.3,9,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_12,chain_len,no ID,low,136,"lattice, no ID",localized in weird line things,BTC? box is tilted,almost pristine,none,BCC,1.5,4,3,12-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_6,chain_len,BCC,high,136,BCC,very messy crosses,second peak is hard to see;lots of AC motion (phonons??),"broad peaks, overlapping",none,BCC,1.5,4,3,6-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_7,chain_len,BCC,high,136,BCC,very messy crosses,second peak is hard to see,"broad peaks, overlapping",none,BCC,1.5,4,3,7-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_4_chn_num_3_linker_8,chain_len,BCC,high,136,BCC,very messy crosses,second peak is hard to see but there,"broad peaks, overlapping",none,BCC,1.5,4,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_5_chn_num_3_linker_10,chain_len,BCC,medium,118,BCC,messy crosses,none,"broader than almost pristine, but distringuishable peaks",none,BCC,1.5,5,3,10-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_5_chn_num_3_linker_12,chain_len,no ID,,136,"lattice no ID, looks like an oeffset BCC",offset hexes,"",broad and overlapping peaks,"",BCC,1.5,5,3,12-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_5_chn_num_3_linker_5,chain_len,BCC,high,136,BCC,very messy crosses,lots of AC motion,overlapping and broad peaks,none,BCC,1.5,5,3,5-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_5_chn_num_3_linker_6,chain_len,BCC,high,136,BCC,very messy crosses,coord num of first and second nearest neighbors 14,very broad and overlapping peaks,"",BCC,1.5,5,3,6-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_5_chn_num_3_linker_7,chain_len,BCC,high,136,BCC,very messy crosses,coord num of first and second nearest neighbors 14,broad peaks,"",BCC,1.5,5,3,7-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_5_chn_num_3_linker_8,chain_len,BCC,medium,136,BCC,messy crosses,coord num of first and second nearest neighbors 14,broad peaks,"",BCC,1.5,5,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_6_chn_num_3_linker_10,chain_len,BCC,,136,BCC,crosses,none,pristine,none,BCC,1.5,6,3,10-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_6_chn_num_3_linker_12,chain_len,BCC,,119,BCC,crosses,perfect BCC upon relaxtion of the crystal. It relaxes in a triclinic simulation box by frame 65,pristine,crystal relaxes late into the simulation,BCC,1.5,6,3,12-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_8_chn_num_3_linker_10,chain_len,FCC,,122,FCC,interlocking hexes,FCC peaks,"slightly broad peaks, almost pristine",none,BCC,1.5,8,3,10-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_8_chn_num_3_linker_6,chain_len,fluid,,136,liquid,"","",liquid,"",BCC,1.5,8,3,6-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,,136,mixture BCT/BCC and FCC (?),"","mutiple regions, at least one is (name AC and z >0 and x <0)","","",BCC,1.5,8,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.5_eps_-70_EE_9_chn_num_3_linker_8,chain_len,mixture,,136,mixture BCT/BCC and FCC (?),"","mutiple regions, at least one is (name AC and z >0 and x <0)","","",BCC,1.5,9,3,8-BCC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_0.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,no,pristine,no,BCT,0.3,8,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_0.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,,136,mixture SC/BCC/BCT,"","mutiple regions, at least one is (name AC and z >0 and x <0)","","",BCT,0.5,8,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_0.7_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,,136,mixture SC/BCC/BCT,"","mutiple regions, at least one is (name AC and z >0 and x <0)","","",BCT,0.7,8,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_0.9_eps_-70_EE_8_chn_num_3_linker_8,chain_len,fluid,,136,jammed/glass,homogenous,none,"first two peaks are crystaline, rest is fluid like",there are vague ordered sections,BCT,0.9,8,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_10_chn_num_3_linker_10,chain_len,FCC,,129,FCC,interlocked hexes,FCC peaks,almost pristine with broad peaks,none,BCT,1.1,10,3,10-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_10_chn_num_3_linker_6,chain_len,fluid,,136,jammed/glass/lquid,homogenous,none,"first two peaks are crystaline, rest is fluid like",none,BCT,1.1,10,3,6-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,,136,FCC,vague interlocking hexes,FCC peaks,crystal like but broad peaks,none,BCT,1.1,10,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_8_chn_num_3_linker_10,chain_len,no ID,,136,lattice no ID,offset interlocking hexes biased towards square interiors,"triclinic box, maybe BCT","almost pristine, broad peaks",none,BCT,1.1,8,3,10-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_8_chn_num_3_linker_12,chain_len,FCC,,136,FCC,interlocked hexes,FCC peaks; coord num 12,prisitine,none,BCT,1.1,8,3,12-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_8_chn_num_3_linker_6,chain_len,no ID,medium,136,"maybe lattice, no ID",messy interlocking hexes,triclinic box,"messy, broad peaks",none,BCT,1.1,8,3,6-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.1_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,,136,mixture BCC/FCC,"","","","",BCT,1.1,8,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_10_chn_num_3_linker_10,chain_len,FCC,medium,108,FCC,messy interlocking hexes,none,"FCC peaks, broad peaks",none,BCT,1.3,10,3,10-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_10_chn_num_3_linker_6,chain_len,,,136,fluid like,homogenous,none,fluid like,none,BCT,1.3,10,3,6-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,medium,136,FCC,messy interlocking hexes,FCC peaks,broad peaks,none,BCT,1.3,10,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_8_chn_num_3_linker_10,chain_len,FCC,,136,FCC,interlocking hexes,FCC peaks,almost pristine,none,BCT,1.3,8,3,10-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_8_chn_num_3_linker_12,chain_len,FCC,,136,FCC,interlocked hexes,FCC peaks,pristine,none,BCT,1.3,8,3,12-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_8_chn_num_3_linker_6,chain_len,no ID,medium,136,"messy lattice, no ID",messy interlocking hexes,none,very broad peaks,none,BCT,1.3,8,3,6-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,,136,very messy mixture BCT/FCC,"","",very broad and overlapping peaks,"",BCT,1.3,8,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.5_eps_-70_EE_8_chn_num_3_linker_10,chain_len,FCC,,136,FCC,interlocked hexes,none,pristine,none,BCT,1.5,8,3,10-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.5_eps_-70_EE_8_chn_num_3_linker_12,chain_len,mixture,,136,mixture BCC/FCC,warpped interlocked hexes,none,"almost pristine, overlapping peaks",none,BCT,1.5,8,3,12-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_BCT_kT_1.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,FCC,medium,136,FCC,messy interlocking hexes,FCC peaks,"almost pristine, broad peaks",none,BCT,1.5,8,3,8-BCT
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.3_eps_-70_EE_6_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,triclinic box,pristine,none,FCC,0.3,6,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,triclinic box,pristine,none,FCC,0.3,8,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.5_eps_-70_EE_6_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,triclinic box,pristine,none,FCC,0.5,6,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,low,136,SC,squares - mostly very neat but one strip of messier,none,pristine,stripe of messier squares,FCC,0.5,8,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.7_eps_-70_EE_6_chn_num_3_linker_8,chain_len,no ID,low,136,"lattice, no ID",localized - aligned Xs or neigboring hexes?,BCC peaks but looks hexy?,pristine,none,FCC,0.7,6,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.7_eps_-70_EE_8_chn_num_3_linker_8,chain_len,fluid,,136,jammed,decloalized,none,two clear peaks then liquidy,none,FCC,0.7,8,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.9_eps_-70_EE_6_chn_num_3_linker_8,chain_len,no ID,low,136,"lattice, no ID",localized - aligned Xs or neigboring hexes?,BCC peaks but looks hexy?,pristine,none,FCC,0.9,6,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_0.9_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,,134,mixture,"","mutiple regions, looks like liqud and lattice (visually looks like FCC??) regions","","",FCC,0.9,8,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.0_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,high,133,mixture,messy corsses and very messy regions,"coord num of first and second nearest neughbors 13.4, stabilizes at frame 60",broad peaks,"stabilizes at frame 60, localized sublattice regions and very messy ones",FCC,1,8,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_10_chn_num_3_linker_6,chain_len,fluid,high,116,two clear peaks then liquidy,delocalized,none,messy,none,FCC,1.1,10,3,6-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_10_chn_num_3_linker_8,chain_len,FCC,high,108,FCC,very messy crosses,coord num 12,"FCC peaks, broad peaks",none,FCC,1.1,10,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_12_chn_num_3_linker_10,chain_len,,high,111,FCC with a lot of defects,very messy Xs,coord num 11.8,"FCCish peaks, very broad peaks",none,FCC,1.1,12,3,10-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_12_chn_num_3_linker_8,chain_len,FCC,high,142,FCC,very messy Xs,coord num 12,"FCCish peaks, broad peaks",none,FCC,1.1,12,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_6_chn_num_3_linker_10,chain_len,no ID,low,133,"lattice, no ID","localized, offset hexes/stacked Xs",BCC peak values but looks hex-y or FCC-like from certain angles,almost pristine,none,FCC,1.1,6,3,10-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_6_chn_num_3_linker_8,chain_len,mixture,low,136,mixture,localized into slanted lines,"vaguely BCC, but hard to say",broad peaks,weird stripe things looking down X axis,FCC,1.1,6,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_8_chn_num_3_linker_10,chain_len,BCT,medium,110,BCT,messy-ish crosses,none,"FCC peaks, almost pristine",none,FCC,1.1,8,3,10-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.1_eps_-70_EE_8_chn_num_3_linker_6,chain_len,no ID,high,136,"messy lattice, no ID","mostly delocalized, maybe messes interlocking hexes",none,broad peaks,none,FCC,1.1,8,3,6-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_10_chn_num_3_linker_10,chain_len,,medium,125,FCC with slight messy region in middle (sublattice mixutre),messy Xs,coord num 12.Maybe should run longer,"FCC peaks, broad peaks",messier region in the middle (large cross-like),FCC,1.3,10,3,10-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_10_chn_num_3_linker_6,chain_len,fluid,high,121,liquid,delocalized,none,liquidy,none,FCC,1.3,10,3,6-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_6_chn_num_3_linker_10,chain_len,mixture,,129,mixture BCC/BCT/FCC (haven't lookedat g(r)),very locatlized,"","",stripes/mixture,FCC,1.3,6,3,10-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_6_chn_num_3_linker_8,chain_len,BCC,,136,BCC,very locatlized; aligned Xs and neighboring,none,almost pristine,none,FCC,1.3,6,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_8_chn_num_3_linker_10,chain_len,FCC,medium,103,FCC,"localized, slightly messy Xs",none,almost pristine,none,FCC,1.3,8,3,10-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.3_eps_-70_EE_8_chn_num_3_linker_6,chain_len,fluid,high,136,"liquid/BCC
",delocalized,none,liquidy,none,FCC,1.3,8,3,6-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_6_chn_num_3_linker_10,chain_len,no ID,medium_low,118,"lattice, no ID",neat offset hexes/Xs,none,almost pristine,"looks crooked (BCC peaks, BCC slices from diagonal, FCC slices from faces)",FCC,1.5,6,3,10-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_6_chn_num_3_linker_8,chain_len,no ID,medium_low,136,"lattice, no ID",neat offset hexes/Xs,none,medium pristine,"BCC peaks, but squashed FCC or hex=y slices",FCC,1.5,6,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_8_chn_num_3_linker_6,chain_len,fluid,high,136,"liquidy, starting to split apart",delocalized,none,liquidy,none,FCC,1.5,8,3,6-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,FCC,medium,101,FCC,messy Xs,none,broad peaks,none,FCC,1.5,8,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_FCC_kT_1.7_eps_-70_EE_6_chn_num_3_linker_8,chain_len,no ID,medium,136,"lattice, no ID",messy-ish Xs,none,almost pristine (broad-ish peaks),"BCC peaks, but squashed FCC or hex-y slices, BCC slices from corners",FCC,1.7,6,3,8-FCC
crystal_size_3_AC_5_BC_1.0_real_lattice_HEX_kT_0.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,none,pristine,none,HEX,0.3,8,3,8-HEX
crystal_size_3_AC_5_BC_1.0_real_lattice_HEX_kT_0.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,none,pristine,none,HEX,0.5,8,3,8-HEX
crystal_size_3_AC_5_BC_1.0_real_lattice_HEX_kT_0.7_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,medium,136,SC,neat squares with stripes of messy squares (may just be an offset? hard to say),extra bump in g(r),pristine with extra bump,stripes/mixture,HEX,0.7,8,3,8-HEX
crystal_size_3_AC_5_BC_1.0_real_lattice_HEX_kT_0.9_eps_-70_EE_8_chn_num_3_linker_8,chain_len,no ID,medium_low,136,"lattice, no ID",neat offset hexes,(maybe hex? see layers but not hex pattern); could be two peaks in 2nd and 3rd g(r) peaks,almost pristine,none,HEX,0.9,8,3,8-HEX
crystal_size_3_AC_5_BC_1.0_real_lattice_HEX_kT_1.1_eps_-70_EE_10_chn_num_3_linker_8,chain_len,no ID,high,136,"lattice, no ID ","delocalized, very very messy interlocking hexes","(FCC peaks, but can't tell); doesn't relax until about frame 50",broad peaks,"",HEX,1.1,10,3,8-HEX
crystal_size_3_AC_5_BC_1.0_real_lattice_HEX_kT_1.3_eps_-70_EE_10_chn_num_3_linker_8,chain_len,fluid,high,136,liquidy,delocalized,none,liquidy,none,HEX,1.3,10,3,8-HEX
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,none,pristine,none,SC,0.3,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,none,pristine,none,SC,0.5,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.7_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,,136,SC,squares,none,pristine,none,SC,0.7,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_0.9_eps_-70_EE_8_chn_num_3_linker_8,chain_len,SC,medium,136,SC,messy squares,some extra bumps in g(r),pristine with some extra bumps,some weird warping or regions?,SC,0.9,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.1_eps_-70_EE_10_chn_num_3_linker_8,chain_len,fluid,high,136,liquidy,delocalized,none,liquidy,none,SC,1.1,10,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.1_eps_-70_EE_3_chn_num_3_linker_8,chain_len,no ID,,136,"two lattices, no ID",offset lines -> offset hexes,"starts as one lattice, converts to another around frames 40-50","almost pristine, maybe extra peaks",transition in middle,SC,1.1,3,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.1_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,high,136,mixture: maybe lattice + liquid?,very messy interlocking hexes,none,"broad peaks, looks liquidy at larger r",maybe lattice region and liquid region?,SC,1.1,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.3_eps_-70_EE_10_chn_num_3_linker_8,chain_len,fluid,high,136,liquidy,delocalized,none,liquidy,none,SC,1.3,10,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.3_eps_-70_EE_3_chn_num_3_linker_8,chain_len,no ID,,136,"lattice, no ID ",offset hexes,(looks kinda hexy but can't tell); not sure if IDed all peaks right,"almost pristine, broadish peaks",none,SC,1.3,3,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.3_eps_-70_EE_8_chn_num_3_linker_8,chain_len,fluid,high,136,looks like between lattice and liquid,delocalized,none,liquidy,none,SC,1.3,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_SC_kT_1.5_eps_-70_EE_8_chn_num_3_linker_8,chain_len,fluid,high,136,liquid,delocalized,none,liquidy,none,SC,1.5,8,3,8-SC
crystal_size_3_AC_5_BC_1.0_real_lattice_BCC_kT_1.2_eps_-70_EE_8_chn_num_3_linker_8,chain_len,mixture,medium,136,mixture,"function of space, crosses and messy sublattice ","","","",BCC,1.2,8,3,8-BCC
